id,text,class
63,"i wanna make a toast! to vyvanse and its amazing powers, my homework be done! <user>",0
64,i drank like <number> oz of oxycodone syrup mixed w <number> oz of codeine syrup in like <number> gulps &amp; no i feel like the way syrup looks,0
65,contemplating taking an adderall just to clean my room ??,0
66,<hashtag>  beware of people who who don't share their last xanax with you.,0
67,just did a pound of adderall &amp; not only have i finished my album but i have published several novellas and raised a family of <number>,0
68,overdosing on adderall before a melee friendly,0
69,tonight got me lookin' for xanax and vodka ????,0
70,lol elizabeth and i took <number>mgs of adderall in the last <number> hours. ooookay.,0
71,<user> nah son all i need is <number> hours of sleep and then pop a vyvanse in the am,0
72,anybody have some adderall? i'm trying to set a goal to read the book of mormon within <number> hours????,0
73,fuck coffee i need adderall to pass this bio exam,0
74,need some adderall i got no time <number> sleep,0
75,"if i was supposed to call or message you last night &amp; i didn't, i'm sorry. dem creme eggs &amp; <number> / <number> a valium got me twisted. <hashtag> partyanimal",0
76,"mixing <number>mg of ambien with valium and baclofen is a bad idea, in case anyone didnít know that already ??",0
77,nos <allcaps> and adderall fueled photo organization session in progress,0
78,<user> <user> nah bro i smoke crack and xanax,0
79,taking xanax like a fucking tic tac,0
80,my use of ativan this week is appalling,0
81,"my friend gave me xanax made into pez, i don't know, it's working though.",0
82,alcohol + drugs + valium - know i know to sleep feeling like shit about myself and hoping iíve taken enough to not wake up in the morning. i have regrets and iíll live with those as long as iíve got left,0
83,last time i took xanax i took <number> in one night and didnt even kno til the next day dat shit dangerous,0
84,i told my friend i was feeling like shit and she said don't worry i stole you some tramadol from my grandpa ??????,0
85,hell yeah! i got to pop some oxycodone tomorrow,0
86,this adderall about to give me so much life i'm finna learn the whole semester in <number> hours,0
87,"after u pop that first adderall and study, it's almost impossible to study w / out it ever again",0
88,bumping future + adderall + home alone = one clean ass fucking house.,0
89,i just be poppin these hydrocodone pills in the safety of my own home. i feel so great rn ????,0
90,"iíd gone thru the resin, ecstasy speed, acid and all the other ërecreational ë drugs i tore the arse out of them and booze. by the time i was <number><neutralface><number> i was heavily addicted to heroin and crack by my <number>ís valium too. iím <number> in few months and only back in recovery <number> <number> / <number> months.",0
91,can someone bring me an adderall plz,0
92,lisdexamfetamine + caffeine + nicotine= shit loud of work done orr heart failure. <repeat><hashtag> wegonnafindout,0
93,took an adderall &amp; drank some coffee on accident. now my room is spotless &amp; iím currently budgeting my finances while catching up on star ??,0
94,mouth dry as the desert after copious amounts of grey goose then a pregabalin last night. praise jebus for the pregab though!,0
95,*wonders why i'm feeling tipsy* *remembers i had to take extra morphine today* oh dear,0
96,i shoulda bought adderall to be able to study fuck,0
97,somebody has xanax plz ?,0
98,seriously how can i get adderall now that im not on a college campus? <hashtag> replytweet,0
99,my finals are on wednesday and my professor added <number> more chapters to it. i need adderall to learn all this. ????????????,0
100,<user> <user> i seriously thought about grinding up my adderall and snorting it.,0
101,is there a name for crushing up an adderall and a xanax and mixing them together and snorting the mixture? bc that's what i need rn,0
102,"<user> iíve done oxy, hydrocodone, and codeine and can confirm this is accurate",0
103,"smashed on tramadol listening to glen campbell. where are you? yes, *you*.",0
104,"am i overdosing on pedialyte , redbull , b<number> , coffee and adderall this weekend ? <repeat>",0
105,xanax moly perc come shop,0
106,i just woke up and took adderall then fuckin realized i don't have this final till thursday fuck me,0
107,<user> i mix valium in my bag of skittles,0
108,"""taking tums can lessen the effect of gabapentin"" why did i ever stop abusing painkillers, honestly, i'm in h e l l",0
109,"coffee and adderall had a real ""slimming effect"" on me",0
110,someone at wmu wanna bring me an adderall to the library,0
111,"<hashtag>  the key to oblivion is lots of alcohol and xanax, apparently.",0
112,just took <number> mg of extra adderall and it's not even finals. gonna be using it a lot for the next <number> days.,0
113,i know one bad xanax experience isnít a ìbig dealî to some people but iím <number> year olds and painfully addicted to xans just because of my <number> year old self believing my anxiety and depression made me not good enough <hashtag>  dont do xans ????,0
114,i think iíll just take another xanax first,0
115,lol my mom fave me tramadol so now i'm high as balls.,0
116,i just took a xanax and then chased it down with a monster and i'm starting to see why that was a bad decision.,0
117,ìtonightís gonna be litty??î first of all u took adderall to focus bc ur dumbass procrastinated doing work for classes ur failing. do better,0
118,out of thc dump caffeine and hydrate  add gabapentin and effexor  walk and flush,0
119,gonna tell my docter i have depression so i can get xanax,0
120,i'm about to take some of my clients morphine for my back pain ?????? <number> ml might do the job ??????,0
121,<number> ativan later. <repeat> starting to calm down,0
122,on so much vyvanse that iíve been watching a workout infomercial for <number> minutes and have not realized nor looked away from the television,0
123,<user> shoot up some heroine and if you can't get heroine i can get you some morphine. same thing,0
124,<user> i once got smashed while i was on valium and also when i had taken codeine and i lived to tell the tale,0
125,hydrocodone is my preferred preworkout,0
126,my parents hid the alcohol so i'm just gonna take a lorazepam,0
127,love to give nadav a baby dose of klonopin and watch him get goofy,0
128,that xanax high you get before falling asleep is beautiful ??????,0
129,valium is such a weird high but i fuck with it,0
130,<user> <user> i got high off seroquel that way years ago,0
131,if anyone has an adderall connect they'd like to share it would be greatly appreciated bc i don't wanna fail out of college,0
132,"update: i haven't survived sports day number <number> and am now going home for valium and, at <number> pm, wine.",0
133,codeine pills and percocets have me at a high &amp; put my ass to sleep ??,0
134,someone going to sell me more drugs or <elong> am i gonna have to grin and bear this adderall comedown till tomorrow,0
135,"i have <number> papers to write this weekend man, probably gonna pull all nighters. you tryin to slide some adderall my way? <user>",0
136,so cracked out on vyvanse this can't be healthy man but a girl gotta pass,0
137,so who wants to lace my food with xanax so i can relapse cus apparently im to much of a bitch to just start back myself,0
138,a bit of morphine to help unwind ????,0
139,my fault for not snorting my pregame xanax,0
140,so i just got home and emptied my pockets from last night and somehow i have <number> half smoked cigarettes and a valium ??????,0
141,?? rt <user>: snorted adderall i'm so fadded,0
142,got head from a bitch name sandy forgot everything shoutout to the xanax,0
143,he's still awake. think i'll just fuck going to sleep off altogether for tonight. have another gin and a few tramadol. let's get messy.,0
144,some<number> find me a adderall,0
145,got my adderall fix and i feel great! ????,0
146,like that time i took too many xanax <hashtag> x<number>x <hashtag> spellitbackwards <hashtag> za~nex <hashtag> idontremember,0
147,vodka + cranberry + xanax = a great night! <hashtag> wornthefuckout <hashtag> goodnight <hashtag> cfs <hashtag> fibromyalgia <hashtag> bipolardisorder <hashtag> isuck <hashtag> kids <hashtag> life <hashtag> tired <hashtag> doit,0
148,<user> <user> coffee with a shot. <repeat>tramadol  /  kenacort,0
149,i eat klonopin like tic tacs when i'm in a bad mood,0
150,well. <repeat> <number> hours of sleep.  adderall time??,0
151,<user> coming from a <number><number> <number>x a day percocet addiction. you make the choice. slave or self. fuck methadone and <number> step do it for yourself or die,0
152,"i got xanax and weed, night gon be smooth",0
153,i really need to quit with the xanax i been fucked up for like this whole week,0
154,all i got is my radio a broken heart a broken soul and on drug called risperidone that make coke not work??,0
155,<hashtag> riomesain<number>words ??? let's get stupid on xanax,0
156,just realized i dented my phone from trying to crush a xanax over a month ago <sadface>,0
157,<user> xanax is good! you can get one from vanessa.,0
158,<user> just part of a photo shoot when i had two hits of morphine,0
159,<user> funny bc when i told u that you had a problem with adderall when we went to the caves u laughed it off and changed the subject,0
160,i'm not add but i am in serious need of some adderall for these <number> hour days,0
161,i got the loud i need some xanz n percs i got adderall too,0
162,i don't have any responsibilities tomorrow. <repeat>well today so i'm going to take adderall and write for hours on end,0
163,who in london has valium,0
164,this tramadol got me butterfly high in the sky ??. <repeat>,0
165,"anyone got some morphine?  that i can take, go figure. <repeat> ??",0
166,and i caught my dad tryna cop some of my oxycodone ??,0
167,got a unhealthy obsession with adderall,0
168,"my whole day gon be ruined ima smoke all day , take this xanax and sleep til tuesday.",0
169,note to self: never mix adderall and red bull again,0
170,&amp; ill hate myself in the morning once again like always. but hey i'll just take vyvanse to wake me up. <repeat> &amp; repeat this cycle again.,0
171,someone give me their adderall ??,0
172,adderall makes studying the funnest thing on the planet,0
173,<user> red wine and valium bad mix ????,0
174,jordan trying to take a line eh tramadol in the library ??,0
175,took to much adderall listening to dixie chicks in album binges idk how or why yet but i know this is going to end poorly,0
176,i just woke up from a <number> day xanax comma. <repeat>lol i love sleeping.,0
177,big shoutout to adderall for helping me get a <number> on my sat . <repeat>y'all the real mvp,0
178,last night in shanghai was made in one night while i was gone off of vyvanse,0
179,<user> i wonder if i can sneak xanax on a plane if i put it with allergy medicine,0
180,taking an adderall to be able to do this drive &amp<neutralface>t;&amp<neutralface>t;,0
181,adderall had me interested in everything but studying,0
182,"i forgot something very <allcaps> important this morning and am debating pacing the library whispering ""adderall. <repeat>adderall"" till someone gives me some",0
183,got out of chem class and now i'm debating wether if i should take adderall so i can write faster because my adrenaline wasn't enough ??,0
184,"""you're not you when you're hungry. <repeat>"" bitch i just popped an adderall",0
185,<user> well i want something because xanax fucking suck i just get addicted and even more sad,0
186,i just found an old photo of me snorting adderall in a bonnet. i've come a long way. <repeat>,0
187,oxycodone and peach schnapps,0
188,<number> turbo shots on top of adderall and i'm still not dead?  a shame,0
189,so much to do contemplating getting a hold of adderall <hashtag> nobutreally <hashtag> stressed,0
190,pop this xan or nah? bust up this valium or nah?,0
191,what's the equivalent of adderall in the uk? having trouble finding a plug <sadface>,0
192,if any of y'all could find xanax hit my dm <neutralface> /  /  / ,0
193,<user> why not just take vyvanse it's like super aderol and my friend keep buying my scripts,0
194,wtf i took <number> mgs of xanax yesterday lmao,0
195,ive said this before and iíll say it again who the fuck has klonopin please,0
196,can sumbody donate me a laptop?  or my beat dreams will b over and i'll overdose on xanax lol,0
197,lol i just found an adderall in my pocket what even,0
198,tonight we blew so much adderall,0
199,trying to buy adderall in bulk today,0
200,"me: do you have any adderall ""no but i have some cocaine and heroin if you want""",0
201,how logical is it to take a vyvanse just so i can find my a / c remote,0
202,who knows anyone that has adderall need them for legit purposes,0
203,i have <number> xans n <number> valium. <repeat> tn is gonnbe amazingg@,0
204,coffee and adderall don't fail me now,0
205,xanax <number> breakfast weed <number> brunch hydrocodone <number> lunch way wayy way <elong> up!,0
206,hmu if you have a script for gabapentin,0
207,my friends r chill with me doing xanax and acid but if they catch me taking an after school nap i'd be in deep shit,0
208,so i took adderall so i could do all my homework. <repeat> well i totally just organized my whole room fukk,0
209,waaaaaaaaasy to much codeine and adderall,0
210,<user> iím so confused. <repeat>but if you want some i got adderall from this random dude at the yuba city mall,0
211,also being high on clonazepam &amp; listening to afi <allcaps>. <repeat> <number> / <number> would recommend,0
212,taking <number> adderall in one day causes some serious need to clean and attention to detail,0
213,"yoo morphine is fucking lit, iím bout to go fight some bitches just cause i canít feel shit rn lmao",0
214,my uber driver just gave me an adderall so who knows where the night will go.,0
215,?????? i gave my cousin a xanax this nigga started doing sit ups and shit ???? fighting trees and shit,0
216,finna pour up a script of vyvanse <number>,0
217,sometimes me and sara take adderall or vyvanse whatever i have at the time and just scrub things with toothbrushes for hours lol,0
218,i'm gonna rail lines of adderall on the venue sinks for odesza tonight &amp<neutralface>t;<number>,0
219,<user> i'll bring the xanax &amp; vino.,0
220,who wants some adderall ??????,0
221,"hazelnut coffee, monster, and adderall for days man",0
222,gotta stop fw that adderall shit . <repeat> i still haven't been to sleep ????,0
223,"<user> sippin on valium, about to tear a labrum, itís comeback season, iím about to go <number><number>",0
224,<user> lots of coffee energy drinks and adderall,0
225,<number><number> bars of xanax and <number> loud blunts helps me forget all my problems.,0
226,drop a morphine in the drank ??,0
227,i took an adderall to get all my shit done &amp; <number> out of my <number> classes tomorrow were cancelled. wtf. so now i'm just sitting here bored af.,0
228,taking double adderall today was not a good idea but at least it's summer ????,0
229,someone sell me adderall lol,0
230,waaaay too much codeine and adderral,0
231,gonna make a dayquil &amp; klonopin smoothie for lunch,0
232,"<user> yep - no new house for them. i'm living on methadone wellsie - i'd curse you, but you're my dealer <smile>",0
233,how much vyvanse should i take tomorrow to pass this exam folks <hashtag> drugsmakeyousmart,0
234,who knows maybe weíll end up addicted to adderall together,0
235,<user> i was addicted to adderall last year <hashtag> swag,0
236,dabs xanax and a blunt ????,0
237,"<user> <user> the guy is insane iv <allcaps> taken alot <allcaps> of diazepam in my life and i know what they do to your mind, his followers are worse than sjw <allcaps>s if you slightly disagree with him, i don't need to tell you that though lol",0
238,<user> i chase puncheon with xanax and tequila already. i'm indestructible.,0
239,"not a big fan of heroin,oxytocin, oxycodone or anything else that snuffs the life out of people,addiction sucks i know firsthand, i been der",0
240,nigga <allcaps> i killed <allcaps> those <allcaps> midterms <allcaps> <number>+ on <allcaps> all <allcaps> three <allcaps> i dont <allcaps> get <allcaps> those <allcaps> man <allcaps> praise <allcaps> adderall <allcaps>,0
241,"maybe taking vyvanse, a <number> hour energy, <number> hydros, and drinking almost half a bottle of peach amsterdam vodka wasnít a good idea but itís too late to go back now ????",0
242,<user> who got the xanax ?,0
243,gonna take an adderall and spring clean my entire life right now,0
244,does anyone sell vyvanse or adderall? like fr fr. <hashtag> serioustweet,0
245,takes <number> adderall because stressed the fuck out because senior capstone,0
246,unfortunately i took way too much adderall and now i'm laying in bed counting how many times my friggen heart beats a minute,0
247,sucking the empty glass vial for xanax dust.,0
248,<user> yeah i drank yesterday and i took like <number> mg of xanax to sleep so idk,0
249,going valium + guinness.  nervous wreck here.  <hashtag> lfc <hashtag> coyr <hashtag> weareliverpool <hashtag> ynwa,0
250,ever take tramadol and percocet together? that shit make you a superhero and shit.,0
251,would straight up murder someone for an ativan right now.,0
252,"""<user>: popped <number> xanax , fall asleep soon"" can u share plz?",0
253,s / o to adderall for making these two research papers possible <hashtag> goodnight,0
254,"me <allcaps> is not just simple ""aches and pains"". it is debilitating. i am unable to hold down a job beause of the pain. i am addicted to tramadol because tehre is nothing else on offer. i have frequent migraines, memory problems, inability to concentrate, brain fog and flu like pain.",0
255,ainít no body love me so iíll drown myself on xanax,0
256,someone sell this nigga some vyvanse so i can get all my statistics work done today,0
257,omagad it rhymes! i wrote a poem while high on oxycontin,0
258,<user> klonopin does nothing to me! <repeat> i donít know if the dosage i have is too small of what. iíve taken <number>x what im prescribed and it does nothing! <repeat> ativan was the same way,0
259,i need some adderall to write this essay ????,0
260,all these tweets tweets for the next <number> hours have been endorsed by ciroc and oxycodone and balmain jeans by kid cudi,0
261,i have no clue why i'm up this early trying to study without vyvanse <hashtag> lostcause,0
262,<user> shat! <repeat> iím drinking coffee with my adderall smh.,0
263,idk why i bought adderall,0
264,<user> <user> iíve taken enough adderall to kill a smal indonesian village.,0
265,"if we really are what we eat, i'm a large amount of adderall",0
266,just now remembered i got two test tomorrow <hashtag>  vyvanse <hashtag>  adderall,0
267,"<user> as you can see, there's a dent next to my face from crushing adderall",0
268,<user> my xanax is your xanax,0
269,dawg where can i buy xanax in the philippines,0
270,adderall protip: drink an alkali beverage (baking soda in water) before you take it to amplify the effect. acidic beverages do the opposite. iím fuckin zoomin rn,0
271,coffee and vyvanse for a pick me up.,0
272,so apparently adderall isn't a downer. this is going to be an interesting birthday party.,0
273,the pharmacy keep giving me the wrong amount of medication. anyone wanna buy some quetiapine lol,0
274,it's amazing what a little coffee and vyvanse can do to my mood <hashtag> readytoroll,0
275,<user> pop a adderall put on some chill russ and finish this assignment  that's due tomorrow,0
276,"hi yes does anyone want my oxycodone, this shit hits me too hard",0
277,hmu its friday xanax for lunch,0
278,<user> <user> <user> i wish i had adderall bc i have zero pages of this paper done after idk. <repeat> <number> hours?,0
279,"who drinks coffee to stay awake anymore, just take an adderall",0
280,who has adderall i need to study for a test lol.,0
281,if anybody has adderall  /  vyvanse. please let me know.,0
282,can i buy adderall with my meal plan or no,0
283,the adderall-wine-nicotine combo iíve got brewing in my body cauldron  is *thumbs up emoji*,0
284,i really need to stop taking all these vyvanse because i feel so shitty afterwards.,0
285,"narcos, hennepy, xanax &amp; codeine . <repeat> hell of a night",0
286,took a fat l on my a&amp<lolface> final &amp; spent an hour looking for <number> adderall capsule in a huge full trash can at work at the pharmacy. happy monday??,0
287,wouldn't mind some adderall to get me through the rest of this semester ??,0
288,someone sell me adderall ?? <hashtag> replytweet <hashtag> dmme <hashtag> serioustweet <hashtag> helpasistaout,0
289,iím having such a bad mental health moment at work i have <number> ideas on what to do about it other than take an unhealthy amount of ativan,0
290,"<user> lots of weed, <number> tramadol, more weed then <number> valium just to top the night off. it is friday! <repeat>",0
291,<user> i took an adderall in college just to see what would happen n was up all that night n all the next day. i can see it bein a ped,0
292,<user> <user> <user> i am so fucking stoned on hydromorphone right now! it's a partial synthetic morphine.,0
293,took a vyvanse and adderall and i feel gorgeous omg iím going to start taking them daily to enhance my performance manic hafsy about to jump out,0
294,these cramps said fuck dat tramadol???? i gotta take another one and it better work cause im bout to stab myself,0
295,"i gotta lot of lean dats in my cup, ah lot kush dats n my blunt, cause i been smokin tryna take dis pain away , drinking hen until da very last drop, a lot of xanax i done popped, still my problems they ainít never fade away ???????",0
296,<user> adderall allows me to mix &amp; master like an absolute motherfucker though so itís worth it,0
297,"i was with a <number>yr old tramadol drug addict yesterday and i really want to help him, i just donít know how to ??",0
298,"hello, <number> i need adderall or vyvanse because im a lazy unfocused college student who cant do homework without drugs to help me",0
299,adderall had me doing literally everything except studying,0
300,<user> can read me like a book! <hashtag> bffs know when you're on adderall from <number> of miles away.,0
301,adderall &amp; all nighters,0
302,restoril (a form of xanax) is awesome. feeling sleepy and high. so going to sleep well. <repeat>,0
303,i need adderall to get though these next few days. ??,0
304,*takes adderall to sleep*,0
305,studying is <number> times better w adderall,0
306,"""<user>: i need adderall rn"" or a perc or a xan",0
307,i just want to take this adderall and fuck the ?? out of u,0
308,a life of adderall and alcohol is too good to give up anyway,0
309,coffee or coco or adderall i neeeeed tomorrow,0
310,i will so a whole entire book of math problems &amp; enjoy doing it off a vyvanse ??,0
311,aaaaaaaaaaaaaaaah add. <hashtag> thesis <hashtag> collegefession i am trying so <elong> hard to care. not enough adderall in the world sp on to plan b. <repeat><hashtag> stonertime,0
312,<user> ik i dont really like any drugs that much i would like adderall if coming down wasnt so bad,0
313,"""wanna buy adderall i take paypal""",0
314,the one night i'm on fucking adderall and my friends don't wanna go out.,0
315,i wish i had adderall i'd prob give up my thumb for one rn,0
316,off the xanax and the beer going crazy but i'm chill,0
317,told my mom i needed adderall to help me study &amp; she nearly almost slapped me ?? lol,0
318,i heined myself so hard today  all adderall and vyvanse is at home ??,0
319,i heard niggas doin $<number> for a fuckin xanax bar. <repeat>you got me all the way fucked up.,0
320,i do xanax to fall asleep. <repeat> iono how y'all be popping <number> of them and staying awake all day,0
321,my prof almost made me fall asleep even after i chugged an energy drink. only adderall can save me,0
322,just took <number> mg of adderall someone text me,0
323,"stick to the drill, never sleepin like i got an adderall waitin",0
324,can't focus on studying to save my life sos need adderall,0
325,i need a damn can of dry shampoo and a bottle of adderall if i'm about to survive these parties tonight,0
326,so much morphine and codeine and drips i'm fucking flying mate,0
327,<user> well at some point i'm gonna either run out of adderall or my moms gonna actually go shopping,0
328,that time i took adderall and cleaned my friend's room while he just sat there and then his mom gave me $<number>,0
329,i needed to go out buy gabapentin and crackers because hey i want to have a good time today,0
330,adderall because idk how else i'm surviving today,0
331,the amount of times a day i say i need adderall a getting too high,0
332,lol when da adderall hits <number> hours late but u done studying so u look up the ingredients ??,0
333,a shot or <number> of morphine rm will do to sleep . catch them z <elong>. <repeat>,0
334,got a <number> this semester s / o to adderall,0
335,my need for adderall is ridiculous i'm literally assigning photos to contacts right now instead of writing this paper god help me,0
336,bitch im done bein on xanax gonna pook yp hexes for <user>,0
337,"""i can't take any more xanax today. <repeat>"" - momma",0
338,winning percentage sober = <number>% winning percentage on adderall = <number>%,0
339,just cleaned my entire dorm bc i actually took my adderall today and had no homework.????????,0
340,haha i just wanna pop <number> xanax and die rn,0
341,good weed i smoke that xanax i hid that right by my nut sack,0
342,"diazepam, codeine and coffee can only mean one thing - exam week at university ??",0
343,i wish i would've known the adderall plug in high school. <repeat> catch graduating early me at mit,0
344,i took xanax and smoked and now i feel extremely light have a good night y'all i'm bouta get the best sleep of my life,0
345,would rate coffee and ativan <number> / <number>,0
346,partying <number> / <number> is all fun and games until you're <number> and broke with <number> friends left that are both struggling to stop doing xanax everyday,0
347,"note to self: don't take adderall and drink <number> cups of coffee, i'm about to text every rap artist in my phone and see what they're up to",0
348,snort an adderall off a toads back,0
349,<user> <number> seconds away from letting a crackhead into my apart to share my love of valium with me,0
350,i think i tried to kiss <user> when i was high on morphine in the hospital. i really don't know how i still have friends.,0
351,im lyin im not sure if i was like this is when i was doing lots of xanax so im just assuming and im probably right,0
352,staying up all night on caffeine instead of adderall is like buying the knockoff brand cereal,0
353,"<user> let me get a xanax, a bottle of vodka and <number> sleeping pills first.",0
354,watch me drop that <number>mg xanax in my sprite,0
355,does anyone know how dayquil mixes with adderall,0
356,"they fienin' for assumptions on some dumb shit, i wanna bump kid then im finna dive in. drip drop on my tiptoes, made it out tha flop, came out tha hard-knocks where they all about a ball fine white lines in bathroom stalls, molly and adderall got us buzzin till the ceiling fall",0
357,it's too late for a adderall so i think i'm gonna smoke a cig before i meet my friend for dinner so i can just say i'm not hungry,0
358,adderall is great except when i become hyperfocused on something other than homework and i spend <number> minutes telling my roommate about the myth of meritocracy and the  history of de facto segregation in america,0
359,adderall + two cans of monster + xanax = ? <repeat> how can i describe how iím feeling rn. <repeat>,0
360,"ìall my friends were on adderal yesterday so they could study for chem <number>b, i said t wasnít that serious. if i, someone with actual mental issues, can do it. <repeat>î -white engineer girl on her friends taking adderall. ìitís not that hardî ìi got like a b-ì k becky",0
361,taking a handful of xanax and passing out face first in the snow would be a beautiful way to go,0
362,"speaking from exp., i was prescribed <number> oxycontin and <number> oxyocodone each month. i was no doubt hooked. when fed gov. got involved, dr took me off cold turkey. withdraws were horrible, thought i was going to die but never once crossed my mind to buy off street. i had a choice!",0
363,"just took <number>mg of klonopin, <number>mg of temazepam, and a quarter of a xnaxa if a ditch don't sleep tonight i'm suing",0
364,adderall <number> me,0
365,"""you need to calm down i'm about to shove a xanax down your throat"" lmao <allcaps> yikes y do my friends hate me",0
366,"if you see me walking around with my pen in my mouth, i'm on adderall or vyvanse. that's the only time i do that.",0
367,i literally just dropped so many adderall beads all over myself and the bed and wanted to cry instantly,0
368,took my adderall so i could start studying this morning and instead i got distracted and organized my whole room.??,0
369,kief bowls never fail to put me to sleep after being up all night from adderall,0
370,vyvanse and coffee on an empty stomach is how i imagine swallowing a box of laxatives feels.,0
371,but. <repeat> i have an adderall left. <repeat> so i'll be golden! ??,0
372,<number>hours no sleep and not even sleepy yet. skrillex and adderall  will do that to you.,0
373,adderall in my espresso at this point,0
374,"i took adderall &amp; now i'm literally re-modeling my room, on twitter, listening to music, &amp; doing my hair all at once wow this is great",0
375,i like working first shift a lot more when i have adderall to keep me in a good mood.,0
376,(drugs)  i took an adderall and drank half a neuro and i feel like i am burning,0
377,on a lucky day my shorty might get me to bone her twice in a row. but that's after i eat my wheaties and pop an adderall,0
378,wow this adderall supposed make focus nigga im just geeked,0
379,someone bring me a diet coke and some xanax,0
380,(june <number><smile> i find a bottle of hydrocodone and this time i'm really frightened bc i got so high that i never came down. i can't explain it.,0
381,i'm just an angry cunt today dw i'll have a valium and be flying soon,0
382,"unsure why they don't prescribe oxycodone to stop smoking, i've barely smoked at all since surgery. now which <number><number> do i get a pack of oxy at",0
